18:56:45 INFO generating 250 training incidents ...
18:56:51 INFO saved C:\Users\ADMIN\Downloads\Khóa luận\uav-sar\data\models\demo_valley_pmr.npz
18:56:51 INFO evaluating on 80 held-out incidents ...
19:00:44 INFO arm pq|homRGB|veg1.0           rep 22/24 det=False t=180
19:00:45 INFO arm pq|homRGB|veg1.0           rep 23/24 det=False t=180
19:00:45 INFO arm pq|homRGB|veg1.0           rep 24/24 det=False t=180
19:00:46 INFO arm p |homRGB|veg1.0           rep  1/24 det=False t=180
19:00:47 INFO arm p |homRGB|veg1.0           rep  2/24 det=False t=180
19:00:47 INFO arm p |homRGB|veg1.0           rep  3/24 det=True t=10
19:00:47 INFO arm p |homRGB|veg1.0           rep  4/24 det=False t=180
19:00:48 INFO arm p |homRGB|veg1.0           rep  5/24 det=False t=180
19:00:49 INFO arm p |homRGB|veg1.0           rep  6/24 det=False t=180
19:00:49 INFO arm p |homRGB|veg1.0           rep  7/24 det=False t=180
19:00:50 INFO arm p |homRGB|veg1.0           rep  8/24 det=False t=180
19:00:50 INFO arm p |homRGB|veg1.0           rep  9/24 det=False t=180
19:00:51 INFO arm p |homRGB|veg1.0           rep 10/24 det=False t=180
19:00:52 INFO arm p |homRGB|veg1.0           rep 11/24 det=False t=180
19:00:52 INFO arm p |homRGB|veg1.0           rep 12/24 det=False t=180
19:00:53 INFO arm p |homRGB|veg1.0           rep 13/24 det=False t=180
19:00:53 INFO arm p |homRGB|veg1.0           rep 14/24 det=True t=49
19:00:54 INFO arm p |homRGB|veg1.0           rep 15/24 det=False t=180
19:00:54 INFO arm p |homRGB|veg1.0           rep 16/24 det=False t=180
19:00:54 INFO arm p |homRGB|veg1.0           rep 17/24 det=True t=2
19:00:55 INFO arm p |homRGB|veg1.0           rep 18/24 det=False t=180
19:00:56 INFO arm p |homRGB|veg1.0           rep 19/24 det=False t=180
19:00:57 INFO arm p |homRGB|veg1.0           rep 20/24 det=False t=180
19:00:57 INFO arm p |homRGB|veg1.0           rep 21/24 det=False t=180
19:00:58 INFO arm p |homRGB|veg1.0           rep 22/24 det=False t=180
19:00:59 INFO arm p |homRGB|veg1.0           rep 23/24 det=False t=180
19:01:00 INFO arm p |homRGB|veg1.0           rep 24/24 det=False t=180
19:01:01 INFO compared 2 arm pairs over 2 metrics
19:01:04 INFO arm A                          rep  1/24 det=False t=180
19:01:05 INFO arm A                          rep  2/24 det=False t=180
19:01:06 INFO arm A                          rep  3/24 det=True t=132
19:01:07 INFO arm A                          rep  4/24 det=False t=180
19:01:08 INFO arm A                          rep  5/24 det=False t=180
19:01:09 INFO arm A                          rep  6/24 det=False t=180
19:01:10 INFO arm A                          rep  7/24 det=False t=180
19:01:11 INFO arm A                          rep  8/24 det=False t=180
19:01:12 INFO arm A                          rep  9/24 det=False t=180
19:01:13 INFO arm A                          rep 10/24 det=False t=180
19:01:14 INFO arm A                          rep 11/24 det=False t=180
19:01:14 INFO arm A                          rep 12/24 det=True t=116
19:01:15 INFO arm A                          rep 13/24 det=False t=180
19:01:16 INFO arm A                          rep 14/24 det=False t=180
19:01:17 INFO arm A                          rep 15/24 det=False t=180
19:01:18 INFO arm A                          rep 16/24 det=False t=180
19:01:19 INFO arm A                          rep 17/24 det=False t=180
19:01:19 INFO arm A                          rep 18/24 det=False t=180
19:01:20 INFO arm A                          rep 19/24 det=False t=180
19:01:21 INFO arm A                          rep 20/24 det=True t=115
19:01:22 INFO arm A                          rep 21/24 det=False t=180
19:01:23 INFO arm A                          rep 22/24 det=False t=180
19:01:24 INFO arm A                          rep 23/24 det=True t=97
19:01:25 INFO arm A                          rep 24/24 det=False t=180
19:01:25 INFO arm B                          rep  1/24 det=True t=65
19:01:26 INFO arm B                          rep  2/24 det=False t=180
19:01:27 INFO arm B                          rep  3/24 det=False t=180
19:01:28 INFO arm B                          rep  4/24 det=True t=176
19:01:28 INFO arm B                          rep  5/24 det=False t=180
19:01:29 INFO arm B                          rep  6/24 det=False t=180
19:01:30 INFO arm B                          rep  7/24 det=False t=180
19:01:30 INFO arm B                          rep  8/24 det=True t=70
19:01:31 INFO arm B                          rep  9/24 det=False t=180
19:01:32 INFO arm B                          rep 10/24 det=False t=180
19:01:32 INFO arm B                          rep 11/24 det=False t=180
19:01:33 INFO arm B                          rep 12/24 det=True t=93
19:01:34 INFO arm B                          rep 13/24 det=False t=180
19:01:34 INFO arm B                          rep 14/24 det=False t=180
19:01:35 INFO arm B                          rep 15/24 det=False t=180
19:01:35 INFO arm B                          rep 16/24 det=False t=180
19:01:36 INFO arm B                          rep 17/24 det=False t=180
19:01:36 INFO arm B                          rep 18/24 det=True t=51
19:01:37 INFO arm B                          rep 19/24 det=False t=180
19:01:38 INFO arm B                          rep 20/24 det=False t=180
19:01:39 INFO arm B                          rep 21/24 det=False t=180
19:01:40 INFO arm B                          rep 22/24 det=False t=180
19:01:40 INFO arm B                          rep 23/24 det=False t=180
19:01:41 INFO arm B                          rep 24/24 det=True t=89
19:01:41 INFO arm C                          rep  1/24 det=True t=8
19:01:42 INFO arm C                          rep  2/24 det=True t=4
19:01:43 INFO arm C                          rep  3/24 det=False t=180
